study,system,model,condition,run,metric,unit,value
burst_reference,triton,BERT-base,schedule=4_32_4;phase=3;concurrency=4,1,run_median_ms,ms,8.8508205
burst_reference,triton,BERT-base,schedule=4_32_4;phase=1;concurrency=4,2,run_median_ms,ms,8.88809
burst_reference,triton,BERT-base,schedule=4_32_4;phase=2;concurrency=32,2,run_median_ms,ms,54.953481
burst_reference,triton,BERT-base,schedule=4_32_4;phase=3;concurrency=4,2,run_median_ms,ms,8.438637
burst_reference,triton,BERT-base,schedule=4_32_4;phase=1;concurrency=4,3,run_median_ms,ms,8.480814500000001
burst_reference,triton,BERT-base,schedule=4_32_4;phase=2;concurrency=32,3,run_median_ms,ms,55.541354999999996
burst_reference,triton,BERT-base,schedule=4_32_4;phase=3;concurrency=4,3,run_median_ms,ms,8.445336
burst_reference,triton,BERT-base,schedule=4_32_4;phase=1;concurrency=4,4,run_median_ms,ms,8.9805155
burst_reference,triton,BERT-base,schedule=4_32_4;phase=2;concurrency=32,4,run_median_ms,ms,62.0957395
burst_reference,triton,BERT-base,schedule=4_32_4;phase=3;concurrency=4,4,run_median_ms,ms,10.620808
burst_reference,triton,BERT-base,schedule=4_32_4;phase=1;concurrency=4,5,run_median_ms,ms,9.1825395
burst_reference,triton,BERT-base,schedule=4_32_4;phase=2;concurrency=32,5,run_median_ms,ms,53.7830335
burst_reference,triton,BERT-base,schedule=4_32_4;phase=3;concurrency=4,5,run_median_ms,ms,9.273723
burst_reference,triton,BERT-base,schedule=4_64_4;phase=1;concurrency=4,1,run_median_ms,ms,10.8203915
burst_reference,triton,BERT-base,schedule=4_64_4;phase=2;concurrency=64,1,run_median_ms,ms,120.544949
burst_reference,triton,BERT-base,schedule=4_64_4;phase=3;concurrency=4,1,run_median_ms,ms,12.021684
burst_reference,triton,BERT-base,schedule=4_64_4;phase=1;concurrency=4,2,run_median_ms,ms,12.349662
burst_reference,triton,BERT-base,schedule=4_64_4;phase=2;concurrency=64,2,run_median_ms,ms,116.268113
burst_reference,triton,BERT-base,schedule=4_64_4;phase=3;concurrency=4,2,run_median_ms,ms,11.846056
burst_reference,triton,BERT-base,schedule=4_64_4;phase=1;concurrency=4,3,run_median_ms,ms,11.624398
burst_reference,triton,BERT-base,schedule=4_64_4;phase=2;concurrency=64,3,run_median_ms,ms,125.37978050000001
burst_reference,triton,BERT-base,schedule=4_64_4;phase=3;concurrency=4,3,run_median_ms,ms,11.246002
burst_reference,triton,BERT-base,schedule=4_64_4;phase=1;concurrency=4,4,run_median_ms,ms,10.1530335
burst_reference,triton,BERT-base,schedule=4_64_4;phase=2;concurrency=64,4,run_median_ms,ms,118.87764
burst_reference,triton,BERT-base,schedule=4_64_4;phase=3;concurrency=4,4,run_median_ms,ms,10.164566
burst_reference,triton,BERT-base,schedule=4_64_4;phase=1;concurrency=4,5,run_median_ms,ms,9.936083
burst_reference,triton,BERT-base,schedule=4_64_4;phase=2;concurrency=64,5,run_median_ms,ms,112.92071
burst_reference,triton,BERT-base,schedule=4_64_4;phase=3;concurrency=4,5,run_median_ms,ms,9.571669
shared_gpu_model_kernel,gazsi,BERT-base,concurrency=8;receive_queues=4;batch=1,1,model_kernel_increase,percent,0.480391
shared_gpu_model_kernel,gazsi,BERT-base,concurrency=8;receive_queues=4;batch=1,2,model_kernel_increase,percent,0.434067
shared_gpu_model_kernel,gazsi,BERT-base,concurrency=8;receive_queues=4;batch=1,3,model_kernel_increase,percent,0.398742
