study,system,model,condition,run,metric,unit,value
primary_concurrency,baseline,BERT-base,concurrency=1,5,throughput,requests/s,533.44
primary_concurrency,baseline,BERT-base,concurrency=1,5,mean_ms,ms,1.87
primary_concurrency,baseline,BERT-base,concurrency=2,1,throughput,requests/s,544.38
primary_concurrency,baseline,BERT-base,concurrency=2,1,mean_ms,ms,3.67
primary_concurrency,baseline,BERT-base,concurrency=2,2,throughput,requests/s,524.48
primary_concurrency,baseline,BERT-base,concurrency=2,2,mean_ms,ms,3.81
primary_concurrency,baseline,BERT-base,concurrency=2,3,throughput,requests/s,518.8
primary_concurrency,baseline,BERT-base,concurrency=2,3,mean_ms,ms,3.85
primary_concurrency,baseline,BERT-base,concurrency=2,4,throughput,requests/s,522.36
primary_concurrency,baseline,BERT-base,concurrency=2,4,mean_ms,ms,3.83
primary_concurrency,baseline,BERT-base,concurrency=2,5,throughput,requests/s,520.47
primary_concurrency,baseline,BERT-base,concurrency=2,5,mean_ms,ms,3.84
primary_concurrency,baseline,BERT-base,concurrency=4,1,throughput,requests/s,514.53
primary_concurrency,baseline,BERT-base,concurrency=4,1,mean_ms,ms,7.77
primary_concurrency,baseline,BERT-base,concurrency=4,2,throughput,requests/s,520.08
primary_concurrency,baseline,BERT-base,concurrency=4,2,mean_ms,ms,7.69
primary_concurrency,baseline,BERT-base,concurrency=4,3,throughput,requests/s,518.56
primary_concurrency,baseline,BERT-base,concurrency=4,3,mean_ms,ms,7.71
primary_concurrency,baseline,BERT-base,concurrency=4,4,throughput,requests/s,518.46
primary_concurrency,baseline,BERT-base,concurrency=4,4,mean_ms,ms,7.71
primary_concurrency,baseline,BERT-base,concurrency=4,5,throughput,requests/s,509.02
primary_concurrency,baseline,BERT-base,concurrency=4,5,mean_ms,ms,7.85
primary_concurrency,baseline,BERT-base,concurrency=8,1,throughput,requests/s,508.71
primary_concurrency,baseline,BERT-base,concurrency=8,1,mean_ms,ms,15.71
primary_concurrency,baseline,BERT-base,concurrency=8,2,throughput,requests/s,511.71
primary_concurrency,baseline,BERT-base,concurrency=8,2,mean_ms,ms,15.62
primary_concurrency,baseline,BERT-base,concurrency=8,3,throughput,requests/s,509.58
primary_concurrency,baseline,BERT-base,concurrency=8,3,mean_ms,ms,15.68
primary_concurrency,baseline,BERT-base,concurrency=8,4,throughput,requests/s,506.37
primary_concurrency,baseline,BERT-base,concurrency=8,4,mean_ms,ms,15.79
primary_concurrency,baseline,BERT-base,concurrency=8,5,throughput,requests/s,511.3
primary_concurrency,baseline,BERT-base,concurrency=8,5,mean_ms,ms,15.63
primary_concurrency,baseline,BERT-base,concurrency=16,1,throughput,requests/s,504.38
primary_concurrency,baseline,BERT-base,concurrency=16,1,mean_ms,ms,31.68
primary_concurrency,baseline,BERT-base,concurrency=16,2,throughput,requests/s,515.8
primary_concurrency,baseline,BERT-base,concurrency=16,2,mean_ms,ms,30.98
primary_concurrency,baseline,BERT-base,concurrency=16,3,throughput,requests/s,503.26
primary_concurrency,baseline,BERT-base,concurrency=16,3,mean_ms,ms,31.76
primary_concurrency,baseline,BERT-base,concurrency=16,4,throughput,requests/s,514.36
primary_concurrency,baseline,BERT-base,concurrency=16,4,mean_ms,ms,31.07
primary_concurrency,baseline,BERT-base,concurrency=16,5,throughput,requests/s,515.03
primary_concurrency,baseline,BERT-base,concurrency=16,5,mean_ms,ms,31.02
primary_concurrency,baseline,BERT-base,concurrency=32,1,throughput,requests/s,504.49
primary_concurrency,baseline,BERT-base,concurrency=32,1,mean_ms,ms,63.27
primary_concurrency,baseline,BERT-base,concurrency=32,2,throughput,requests/s,509.73
