study,system,model,condition,metric,unit,n,mean,sample_sd,ci95_low,ci95_high
primary_concurrency,gazsi,BERT-base,concurrency=32,throughput,requests/s,5,847.856,38.734671548884975,799.7605528555018,895.9514471444982
primary_concurrency,gazsi,BERT-base,concurrency=4,mean_ms,ms,5,6.922,0.5721188687676715,6.211620597958117,7.632379402041883
primary_concurrency,gazsi,BERT-base,concurrency=4,throughput,requests/s,5,580.314,44.91629637447859,524.5430518591595,636.0849481408404
primary_concurrency,gazsi,BERT-base,concurrency=8,mean_ms,ms,5,11.384,0.2073161836422814,11.12658295852638,11.641417041473622
primary_concurrency,gazsi,BERT-base,concurrency=8,throughput,requests/s,5,702.34,12.773861984537026,686.4791554557767,718.2008445442234
serving_reference,triton,BERT-base,concurrency=1,mean_ms,ms,5,7.2522,0.32470863862854027,6.849020973509185,7.655379026490816
serving_reference,triton,BERT-base,concurrency=1,run_p50_ms,ms,5,7.2058,0.41331307746065804,6.692604031730296,7.718995968269704
serving_reference,triton,BERT-base,concurrency=1,run_p90_ms,ms,5,7.9702,0.2779365035399275,7.6250962497678385,8.315303750232161
serving_reference,triton,BERT-base,concurrency=1,run_p99_ms,ms,5,8.773200000000001,0.4593339743585276,8.202861540887165,9.343538459112837
serving_reference,triton,BERT-base,concurrency=1,throughput,requests/s,5,137.578,6.255000719424426,129.81139079795204,145.34460920204796
serving_reference,triton,BERT-base,concurrency=16,mean_ms,ms,5,18.267400000000002,0.5250778989826187,17.61542967658081,18.919370323419194
serving_reference,triton,BERT-base,concurrency=16,run_p50_ms,ms,5,18.343,0.7194007923265028,17.449745935888917,19.236254064111083
serving_reference,triton,BERT-base,concurrency=16,run_p90_ms,ms,5,20.4754,1.1961625307624368,18.990168049551976,21.960631950448025
serving_reference,triton,BERT-base,concurrency=16,run_p99_ms,ms,5,26.2744,1.9433147712092342,23.861456011411903,28.687343988588097
serving_reference,triton,BERT-base,concurrency=16,throughput,requests/s,5,874.7052,25.416714356895156,843.1461808304144,906.2642191695855
serving_reference,triton,BERT-base,concurrency=2,mean_ms,ms,5,7.7146,0.217739064019298,7.444241243204653,7.984958756795347
serving_reference,triton,BERT-base,concurrency=2,run_p50_ms,ms,5,7.6924,0.1592711524413633,7.4946387440611355,7.890161255938865
serving_reference,triton,BERT-base,concurrency=2,run_p90_ms,ms,5,8.2488,0.4087789133504809,7.7412339400678505,8.756366059932148
serving_reference,triton,BERT-base,concurrency=2,run_p99_ms,ms,5,8.736,0.3822845798616524,8.261331000117334,9.210668999882667
serving_reference,triton,BERT-base,concurrency=2,throughput,requests/s,5,258.5228,7.3681806913240075,249.37399530332286,267.67160469667715
